flow_id,src,dst,proto,prediction,attack_type,confidence,duration,bytes,anomaly_flag
flow_105,N/A,N/A,17,NORMAL,Normal,77.9,51453.0,64.0,1
flow_106,N/A,N/A,17,NORMAL,Normal,79.8,1140.0,72.0,1
flow_107,N/A,N/A,17,NORMAL,Normal,76.95,293.0,72.0,1
flow_108,N/A,N/A,6,ATTACK,Anomaly,25.4,1333970.0,2664.0,-1
flow_109,N/A,N/A,6,NORMAL,Normal,90.25,187.0,0.0,1
flow_110,N/A,N/A,6,ATTACK,Anomaly,25.4,1335604.0,2728.0,-1
flow_111,N/A,N/A,6,NORMAL,Normal,90.25,111.0,0.0,1
flow_112,N/A,N/A,6,ATTACK,Anomaly,20.81,143347.0,1325.0,-1
flow_113,N/A,N/A,6,ATTACK,Anomaly,20.95,143899.0,1325.0,-1
flow_114,N/A,N/A,6,ATTACK,Anomaly,21.7,142605.0,1325.0,-1
flow_115,N/A,N/A,6,ATTACK,Anomaly,20.95,142499.0,1313.0,-1
flow_116,N/A,N/A,6,ATTACK,Anomaly,29.53,23828.0,162.0,-1
flow_117,N/A,N/A,6,NORMAL,Normal,95.0,119090.0,1169.0,1
flow_118,N/A,N/A,6,ATTACK,Anomaly,29.53,23841.0,156.0,-1
flow_119,N/A,N/A,6,ATTACK,Anomaly,21.21,199037.0,1325.0,-1
flow_120,N/A,N/A,6,ATTACK,Anomaly,21.38,142923.0,1307.0,-1
flow_121,N/A,N/A,6,NORMAL,Normal,95.0,446800.0,1169.0,1
flow_122,N/A,N/A,6,ATTACK,Anomaly,20.81,141851.0,1325.0,-1
flow_123,N/A,N/A,6,ATTACK,Anomaly,18.39,145376.0,1331.0,-1
flow_124,N/A,N/A,6,ATTACK,Anomaly,20.88,142904.0,1313.0,-1
flow_125,N/A,N/A,6,ATTACK,Anomaly,19.19,142508.0,1331.0,-1
flow_126,N/A,N/A,6,ATTACK,Anomaly,20.25,142561.0,1319.0,-1
flow_127,N/A,N/A,6,ATTACK,Anomaly,18.2,142389.0,1337.0,-1
flow_128,N/A,N/A,6,ATTACK,Anomaly,21.7,142403.0,1319.0,-1
flow_129,N/A,N/A,6,ATTACK,Anomaly,21.7,142089.0,1313.0,-1
flow_130,N/A,N/A,6,ATTACK,Anomaly,19.75,142098.0,1325.0,-1
flow_131,N/A,N/A,6,NORMAL,Normal,95.0,128912.0,1169.0,1
flow_132,N/A,N/A,6,ATTACK,Anomaly,19.19,143215.0,1337.0,-1
flow_133,N/A,N/A,6,ATTACK,Anomaly,20.45,185921.0,1337.0,-1
flow_134,N/A,N/A,6,ATTACK,Anomaly,27.35,131198.0,1169.0,-1
flow_135,N/A,N/A,6,ATTACK,Anomaly,20.45,187746.0,1331.0,-1
flow_136,N/A,N/A,6,ATTACK,Anomaly,21.08,188450.0,1325.0,-1
flow_137,N/A,N/A,6,ATTACK,Anomaly,20.99,300724.0,1325.0,-1
flow_138,N/A,N/A,6,ATTACK,Anomaly,19.96,195652.0,1343.0,-1
flow_139,N/A,N/A,6,ATTACK,Anomaly,18.39,143173.0,1337.0,-1
flow_140,N/A,N/A,6,ATTACK,Anomaly,20.81,142748.0,1325.0,-1
flow_141,N/A,N/A,6,ATTACK,Anomaly,20.81,142235.0,1319.0,-1
flow_142,N/A,N/A,6,ATTACK,Anomaly,22.95,152597.0,1283.0,-1
flow_143,N/A,N/A,6,ATTACK,Anomaly,20.74,142263.0,1331.0,-1
flow_144,N/A,N/A,6,ATTACK,Anomaly,19.75,142478.0,1325.0,-1
flow_145,N/A,N/A,6,ATTACK,Anomaly,27.29,125417.0,1169.0,-1
flow_146,N/A,N/A,6,ATTACK,Anomaly,22.11,188411.0,1313.0,-1
flow_147,N/A,N/A,6,ATTACK,Anomaly,21.7,141785.0,1313.0,-1
flow_148,N/A,N/A,6,ATTACK,Anomaly,16.26,155181.0,1457.0,-1
flow_149,N/A,N/A,6,ATTACK,Anomaly,21.21,200946.0,1325.0,-1
flow_150,N/A,N/A,6,ATTACK,Anomaly,22.0,142298.0,1301.0,-1
flow_151,N/A,N/A,6,ATTACK,Anomaly,22.04,196861.0,1319.0,-1
flow_152,N/A,N/A,6,ATTACK,Anomaly,22.17,197144.0,1313.0,-1
flow_153,N/A,N/A,6,ATTACK,Anomaly,18.2,142230.0,1343.0,-1
flow_154,N/A,N/A,6,ATTACK,Anomaly,21.01,143922.0,1313.0,-1
flow_155,N/A,N/A,6,ATTACK,Anomaly,20.74,142755.0,1331.0,-1
flow_156,N/A,N/A,6,ATTACK,Anomaly,26.9,124970.0,1169.0,-1
flow_157,N/A,N/A,6,ATTACK,Anomaly,20.81,142117.0,1325.0,-1
flow_158,N/A,N/A,6,ATTACK,Anomaly,22.07,142224.0,1307.0,-1
flow_159,N/A,N/A,6,ATTACK,Anomaly,20.25,143176.0,1319.0,-1
flow_160,N/A,N/A,6,ATTACK,Anomaly,20.81,142472.0,1319.0,-1
flow_161,N/A,N/A,6,ATTACK,Anomaly,21.08,185687.0,1325.0,-1
flow_162,N/A,N/A,6,ATTACK,Anomaly,22.39,142746.0,1319.0,-1
flow_163,N/A,N/A,6,ATTACK,Anomaly,21.21,185922.0,1319.0,-1
flow_164,N/A,N/A,6,ATTACK,Anomaly,19.75,143435.0,1325.0,-1
flow_165,N/A,N/A,6,ATTACK,Anomaly,20.45,186578.0,1331.0,-1
flow_166,N/A,N/A,6,ATTACK,Anomaly,19.96,190175.0,1337.0,-1
flow_167,N/A,N/A,6,ATTACK,Anomaly,21.7,142210.0,1313.0,-1
flow_168,N/A,N/A,6,ATTACK,Anomaly,19.19,142963.0,1337.0,-1
flow_169,N/A,N/A,6,ATTACK,Anomaly,20.18,142878.0,1331.0,-1
flow_170,N/A,N/A,6,ATTACK,Anomaly,21.08,190109.0,1331.0,-1
flow_171,N/A,N/A,6,ATTACK,Anomaly,19.75,143397.0,1319.0,-1
flow_172,N/A,N/A,6,NORMAL,Normal,95.0,250001.0,1169.0,1
flow_173,N/A,N/A,6,ATTACK,Anomaly,22.04,188539.0,1319.0,-1
flow_174,N/A,N/A,6,ATTACK,Anomaly,20.25,142469.0,1325.0,-1
flow_175,N/A,N/A,6,ATTACK,Anomaly,29.53,23598.0,156.0,-1
flow_176,N/A,N/A,6,ATTACK,Anomaly,19.75,142921.0,1325.0,-1
flow_177,N/A,N/A,6,ATTACK,Anomaly,21.64,142553.0,1319.0,-1
flow_178,N/A,N/A,6,ATTACK,Anomaly,20.25,142823.0,1319.0,-1
flow_179,N/A,N/A,6,ATTACK,Anomaly,19.69,143432.0,1331.0,-1
flow_180,N/A,N/A,6,ATTACK,Anomaly,16.61,153205.0,1415.0,-1
flow_181,N/A,N/A,6,NORMAL,Normal,95.0,118987.0,1169.0,1
flow_182,N/A,N/A,6,ATTACK,Anomaly,20.18,143445.0,1331.0,-1
flow_183,N/A,N/A,6,NORMAL,Normal,92.62,24781.0,150.0,1
flow_184,N/A,N/A,6,ATTACK,Anomaly,21.64,142625.0,1319.0,-1
flow_185,N/A,N/A,6,ATTACK,Anomaly,20.88,144147.0,1313.0,-1
flow_186,N/A,N/A,6,NORMAL,Normal,95.0,312417.0,1169.0,1
flow_187,N/A,N/A,6,ATTACK,Anomaly,22.11,197560.0,1313.0,-1
flow_188,N/A,N/A,6,ATTACK,Anomaly,20.59,207397.0,1337.0,-1
flow_189,N/A,N/A,6,ATTACK,Anomaly,20.25,144045.0,1325.0,-1
flow_190,N/A,N/A,6,ATTACK,Anomaly,21.21,201971.0,1325.0,-1
flow_191,N/A,N/A,6,ATTACK,Anomaly,22.11,188080.0,1313.0,-1
flow_192,N/A,N/A,6,ATTACK,Anomaly,20.95,142377.0,1325.0,-1
flow_193,N/A,N/A,6,ATTACK,Anomaly,22.17,196656.0,1313.0,-1
flow_194,N/A,N/A,6,ATTACK,Anomaly,20.81,141942.0,1319.0,-1
flow_195,N/A,N/A,6,ATTACK,Anomaly,19.19,142878.0,1331.0,-1
flow_196,N/A,N/A,6,ATTACK,Anomaly,27.03,125846.0,1169.0,-1
flow_197,N/A,N/A,6,NORMAL,Normal,95.0,119881.0,1169.0,1
flow_198,N/A,N/A,6,NORMAL,Normal,92.62,23547.0,150.0,1
flow_199,N/A,N/A,6,ATTACK,Anomaly,20.88,142554.0,1313.0,-1
flow_200,N/A,N/A,6,ATTACK,Anomaly,22.07,142702.0,1307.0,-1
flow_201,N/A,N/A,6,ATTACK,Anomaly,21.7,142790.0,1325.0,-1
flow_202,N/A,N/A,6,ATTACK,Anomaly,23.09,142342.0,1301.0,-1
flow_203,N/A,N/A,6,ATTACK,Anomaly,20.81,142780.0,1319.0,-1
flow_204,N/A,N/A,6,ATTACK,Anomaly,19.75,142852.0,1325.0,-1
flow_205,N/A,N/A,6,ATTACK,Anomaly,19.69,142799.0,1331.0,-1
flow_206,N/A,N/A,6,ATTACK,Anomaly,19.75,142500.0,1325.0,-1
flow_207,N/A,N/A,6,ATTACK,Anomaly,22.24,459291.0,1319.0,-1
flow_208,N/A,N/A,6,ATTACK,Anomaly,21.35,196158.0,1319.0,-1
flow_209,N/A,N/A,6,ATTACK,Anomaly,19.69,143476.0,1331.0,-1
flow_210,N/A,N/A,6,NORMAL,Normal,95.0,118873.0,1169.0,1
flow_211,N/A,N/A,6,ATTACK,Anomaly,29.53,23773.0,156.0,-1
flow_212,N/A,N/A,6,ATTACK,Anomaly,21.7,142438.0,1325.0,-1
flow_213,N/A,N/A,6,ATTACK,Anomaly,16.61,152273.0,1427.0,-1
flow_214,N/A,N/A,6,ATTACK,Anomaly,20.32,142918.0,1313.0,-1
flow_215,N/A,N/A,6,ATTACK,Anomaly,20.18,142342.0,1331.0,-1
flow_216,N/A,N/A,6,ATTACK,Anomaly,21.35,196159.0,1313.0,-1
flow_217,N/A,N/A,6,ATTACK,Anomaly,21.15,188391.0,1331.0,-1
flow_218,N/A,N/A,6,ATTACK,Anomaly,21.77,141887.0,1313.0,-1
flow_219,N/A,N/A,6,ATTACK,Anomaly,19.19,142743.0,1337.0,-1
flow_220,N/A,N/A,6,ATTACK,Anomaly,20.25,143077.0,1325.0,-1
flow_221,N/A,N/A,6,ATTACK,Anomaly,27.35,145825.0,1169.0,-1
flow_222,N/A,N/A,6,ATTACK,Anomaly,21.7,142301.0,1313.0,-1
flow_223,N/A,N/A,6,ATTACK,Anomaly,19.19,143379.0,1337.0,-1
flow_224,N/A,N/A,6,ATTACK,Anomaly,21.55,394746.0,1319.0,-1
flow_225,N/A,N/A,6,NORMAL,Normal,91.67,62079.0,1169.0,1
flow_226,N/A,N/A,6,NORMAL,Normal,95.0,122255.0,1169.0,1
flow_227,N/A,N/A,6,ATTACK,Anomaly,20.81,142443.0,1325.0,-1
flow_228,N/A,N/A,6,NORMAL,Normal,92.62,23501.0,144.0,1
flow_229,N/A,N/A,6,ATTACK,Anomaly,20.25,143365.0,1319.0,-1
flow_230,N/A,N/A,6,ATTACK,Anomaly,20.81,142825.0,1325.0,-1
flow_231,N/A,N/A,6,NORMAL,Normal,95.0,119793.0,1169.0,1
flow_232,N/A,N/A,6,ATTACK,Anomaly,21.01,142885.0,1313.0,-1
flow_233,N/A,N/A,6,NORMAL,Normal,92.62,23422.0,150.0,1
flow_234,N/A,N/A,6,ATTACK,Anomaly,21.7,142724.0,1319.0,-1
flow_235,N/A,N/A,6,ATTACK,Anomaly,21.11,143161.0,1307.0,-1
flow_236,N/A,N/A,6,ATTACK,Anomaly,19.96,196340.0,1331.0,-1
flow_237,N/A,N/A,6,NORMAL,Normal,95.0,118573.0,1169.0,1
flow_238,N/A,N/A,6,ATTACK,Anomaly,20.45,189314.0,1337.0,-1
flow_239,N/A,N/A,6,ATTACK,Anomaly,23.09,142909.0,1301.0,-1
flow_240,N/A,N/A,6,ATTACK,Anomaly,22.39,144762.0,1319.0,-1
flow_241,N/A,N/A,6,ATTACK,Anomaly,21.7,142378.0,1319.0,-1
flow_242,N/A,N/A,6,NORMAL,Normal,92.62,24067.0,138.0,1
flow_243,N/A,N/A,6,NORMAL,Normal,95.0,119537.0,1169.0,1
flow_244,N/A,N/A,6,ATTACK,Anomaly,19.75,142424.0,1325.0,-1
flow_245,N/A,N/A,6,ATTACK,Anomaly,19.69,142848.0,1337.0,-1
flow_246,N/A,N/A,6,NORMAL,Normal,92.62,23488.0,132.0,1
flow_247,N/A,N/A,6,ATTACK,Anomaly,23.09,131864.0,1289.0,-1
flow_248,N/A,N/A,6,ATTACK,Anomaly,21.64,142592.0,1319.0,-1
flow_249,N/A,N/A,6,ATTACK,Anomaly,21.7,143358.0,1319.0,-1
flow_250,N/A,N/A,6,ATTACK,Anomaly,19.69,142675.0,1331.0,-1
flow_251,N/A,N/A,6,ATTACK,Anomaly,20.81,142797.0,1325.0,-1
flow_252,N/A,N/A,6,ATTACK,Anomaly,20.81,142740.0,1319.0,-1
flow_253,N/A,N/A,6,ATTACK,Anomaly,22.46,142247.0,1313.0,-1
flow_254,N/A,N/A,6,ATTACK,Anomaly,21.21,195966.0,1325.0,-1
flow_255,N/A,N/A,6,ATTACK,Anomaly,18.53,186390.0,1343.0,-1
flow_256,N/A,N/A,6,ATTACK,Anomaly,20.25,143354.0,1325.0,-1
flow_257,N/A,N/A,6,ATTACK,Anomaly,23.7,142817.0,1289.0,-1
flow_258,N/A,N/A,6,ATTACK,Anomaly,18.2,142734.0,1337.0,-1
flow_259,N/A,N/A,6,ATTACK,Anomaly,28.91,127932.0,1169.0,-1
flow_260,N/A,N/A,6,ATTACK,Anomaly,21.21,187229.0,1319.0,-1
flow_261,N/A,N/A,6,ATTACK,Anomaly,19.69,142653.0,1331.0,-1
flow_262,N/A,N/A,6,NORMAL,Normal,92.62,38668.0,517.0,1
flow_263,N/A,N/A,6,ATTACK,Anomaly,19.75,143726.0,1325.0,-1
flow_264,N/A,N/A,6,ATTACK,Anomaly,22.82,122712.0,1301.0,-1
flow_265,N/A,N/A,6,ATTACK,Anomaly,22.24,234766.0,1319.0,-1
flow_266,N/A,N/A,6,ATTACK,Anomaly,18.39,142541.0,1337.0,-1
flow_267,N/A,N/A,6,ATTACK,Anomaly,22.07,146679.0,1301.0,-1
flow_268,N/A,N/A,6,ATTACK,Anomaly,23.09,143835.0,1301.0,-1
flow_269,N/A,N/A,6,NORMAL,Normal,95.0,119714.0,1169.0,1
flow_270,N/A,N/A,6,ATTACK,Anomaly,20.74,142820.0,1319.0,-1
flow_271,N/A,N/A,6,ATTACK,Anomaly,20.45,189539.0,1337.0,-1
flow_272,N/A,N/A,6,ATTACK,Anomaly,20.95,142826.0,1319.0,-1
flow_273,N/A,N/A,6,NORMAL,Normal,92.62,23822.0,138.0,1
flow_274,N/A,N/A,6,ATTACK,Anomaly,20.52,187835.0,1337.0,-1
flow_275,N/A,N/A,6,ATTACK,Anomaly,22.13,142291.0,1301.0,-1
flow_276,N/A,N/A,6,ATTACK,Anomaly,20.88,143701.0,1313.0,-1
flow_277,N/A,N/A,6,ATTACK,Anomaly,20.59,196404.0,1331.0,-1
flow_278,N/A,N/A,6,ATTACK,Anomaly,21.7,142241.0,1313.0,-1
flow_279,N/A,N/A,6,ATTACK,Anomaly,22.11,224404.0,1325.0,-1
flow_280,N/A,N/A,6,ATTACK,Anomaly,22.0,143577.0,1301.0,-1
flow_281,N/A,N/A,6,ATTACK,Anomaly,16.19,267407.0,1463.0,-1
flow_282,N/A,N/A,6,ATTACK,Anomaly,19.13,149954.0,1337.0,-1
flow_283,N/A,N/A,6,ATTACK,Anomaly,21.01,190688.0,1331.0,-1
flow_284,N/A,N/A,6,NORMAL,Normal,95.0,118946.0,1169.0,1
flow_285,N/A,N/A,6,ATTACK,Anomaly,28.7,23623.0,168.0,-1
flow_286,N/A,N/A,6,ATTACK,Anomaly,20.25,148237.0,1319.0,-1
flow_287,N/A,N/A,6,ATTACK,Anomaly,22.07,142601.0,1301.0,-1
flow_288,N/A,N/A,6,ATTACK,Anomaly,20.45,190581.0,1337.0,-1
flow_289,N/A,N/A,6,ATTACK,Anomaly,21.64,144000.0,1319.0,-1
flow_290,N/A,N/A,6,ATTACK,Anomaly,21.7,142239.0,1313.0,-1
flow_291,N/A,N/A,6,ATTACK,Anomaly,19.75,143462.0,1325.0,-1
flow_292,N/A,N/A,6,ATTACK,Anomaly,20.59,186148.0,1325.0,-1
flow_293,N/A,N/A,6,ATTACK,Anomaly,19.75,142726.0,1325.0,-1
flow_294,N/A,N/A,6,ATTACK,Anomaly,22.07,141542.0,1295.0,-1
flow_295,N/A,N/A,6,NORMAL,Normal,95.0,109618.0,1169.0,1
flow_296,N/A,N/A,6,ATTACK,Anomaly,19.82,188543.0,1337.0,-1
flow_297,N/A,N/A,6,ATTACK,Anomaly,20.74,141771.0,1337.0,-1
flow_298,N/A,N/A,6,ATTACK,Anomaly,20.66,216108.0,1319.0,-1
flow_299,N/A,N/A,6,ATTACK,Anomaly,22.11,198167.0,1319.0,-1
flow_300,N/A,N/A,6,ATTACK,Anomaly,22.82,129383.0,1289.0,-1
flow_301,N/A,N/A,6,ATTACK,Anomaly,23.09,123065.0,1289.0,-1
flow_302,N/A,N/A,6,ATTACK,Anomaly,21.64,141527.0,1319.0,-1
flow_303,N/A,N/A,6,ATTACK,Anomaly,20.81,142160.0,1325.0,-1
flow_304,N/A,N/A,6,ATTACK,Anomaly,20.09,197510.0,1337.0,-1
flow_305,N/A,N/A,6,ATTACK,Anomaly,20.88,143658.0,1313.0,-1
flow_306,N/A,N/A,6,ATTACK,Anomaly,20.59,197458.0,1331.0,-1
flow_307,N/A,N/A,6,ATTACK,Anomaly,19.96,187013.0,1343.0,-1
flow_308,N/A,N/A,6,ATTACK,Anomaly,21.64,142868.0,1319.0,-1
flow_309,N/A,N/A,6,NORMAL,Normal,95.0,153015.0,1169.0,1
flow_310,N/A,N/A,6,NORMAL,Normal,94.52,82618.0,1169.0,1
flow_311,N/A,N/A,6,ATTACK,Anomaly,20.25,143452.0,1319.0,-1
flow_312,N/A,N/A,6,ATTACK,Anomaly,29.53,24058.0,162.0,-1
flow_313,N/A,N/A,6,ATTACK,Anomaly,22.11,198395.0,1325.0,-1
flow_314,N/A,N/A,6,NORMAL,Normal,95.0,118945.0,1169.0,1
flow_315,N/A,N/A,6,ATTACK,Anomaly,20.81,142273.0,1319.0,-1
flow_316,N/A,N/A,6,ATTACK,Anomaly,20.88,142936.0,1313.0,-1
flow_317,N/A,N/A,6,ATTACK,Anomaly,19.75,142803.0,1325.0,-1
flow_318,N/A,N/A,6,ATTACK,Anomaly,20.45,187656.0,1337.0,-1
flow_319,N/A,N/A,6,ATTACK,Anomaly,21.7,143460.0,1313.0,-1
flow_320,N/A,N/A,6,NORMAL,Normal,92.62,23445.0,138.0,1
flow_321,N/A,N/A,6,NORMAL,Normal,95.0,118468.0,1169.0,1
flow_322,N/A,N/A,6,ATTACK,Anomaly,20.95,142724.0,1319.0,-1
flow_323,N/A,N/A,6,ATTACK,Anomaly,21.7,142270.0,1313.0,-1
flow_324,N/A,N/A,6,ATTACK,Anomaly,22.07,122968.0,1307.0,-1
flow_325,N/A,N/A,6,ATTACK,Anomaly,19.19,142478.0,1331.0,-1
flow_326,N/A,N/A,6,ATTACK,Anomaly,21.7,143531.0,1313.0,-1
flow_327,N/A,N/A,6,ATTACK,Anomaly,22.82,142245.0,1301.0,-1
flow_328,N/A,N/A,6,NORMAL,Normal,95.0,118879.0,1169.0,1
